,cg_date_time,wattmeter_wattage,pre_wattage,pre_pre_wattage
86,2022-04-28 09:56:25.616,2630.23,2604.63,2590.11
87,2022-04-28 09:56:35.725,2630.35,2604.63,2590.11
88,2022-04-28 09:56:46.710,2630.48,2604.63,2590.11
89,2022-04-28 09:56:56.711,2630.6,2604.63,2590.11
90,2022-04-28 09:57:06.727,2630.72,2604.63,2590.11
91,2022-04-28 09:57:17.727,2630.85,2604.63,2590.11
92,2022-04-28 09:57:27.728,2630.97,2604.63,2590.11
93,2022-04-28 09:57:37.728,2631.08,2604.63,2590.11
94,2022-04-28 09:57:48.713,2631.21,2604.63,2590.11
95,2022-04-28 09:57:58.714,2631.33,2604.63,2590.11
96,2022-04-28 09:58:08.714,2631.45,2604.63,2590.11
97,2022-04-28 09:58:18.715,2631.57,2604.63,2590.11
98,2022-04-28 09:58:28.715,2631.69,2604.63,2590.11
99,2022-04-28 09:58:38.731,2631.81,2604.63,2590.11
100,2022-04-28 09:58:48.732,2631.93,2604.63,2590.11
101,2022-04-28 09:58:59.717,2632.06,2604.63,2590.11
102,2022-04-28 09:59:09.717,2632.18,2604.63,2590.11
103,2022-04-28 09:59:19.718,2632.3,2604.63,2590.11
104,2022-04-28 09:59:29.718,2632.41,2604.63,2590.11
105,2022-04-28 09:59:39.719,2632.53,2604.63,2590.11
106,2022-04-28 09:59:49.719,2632.65,2604.63,2590.11
107,2022-04-28 09:59:59.719,2632.77,2604.63,2590.11
108,2022-04-28 10:00:09.720,2632.89,2604.63,2590.11
109,2022-04-28 10:00:19.720,2633.01,2604.63,2590.11
110,2022-04-28 10:00:29.721,2633.13,2604.63,2590.11
111,2022-04-28 10:00:39.721,2633.25,2604.63,2590.11
112,2022-04-28 10:00:49.722,2633.37,2604.63,2590.11
113,2022-04-28 10:00:59.722,2633.49,2604.63,2590.11
114,2022-04-28 10:01:09.723,2633.61,2604.63,2590.11
115,2022-04-28 10:01:19.723,2633.73,2604.63,2590.11
116,2022-04-28 10:01:29.724,2633.85,2604.63,2590.11
117,2022-04-28 10:01:39.724,2633.97,2604.63,2590.11
118,2022-04-28 10:01:49.818,2634.1,2604.63,2590.11
119,2022-04-28 10:02:00.569,2634.22,2604.63,2590.11
120,2022-04-28 10:02:10.938,2634.35,2604.63,2590.11
121,2022-04-28 10:02:21.236,2634.47,2604.63,2590.11
122,2022-04-28 10:02:31.517,2634.59,2604.63,2590.11
123,2022-04-28 10:02:41.877,2634.72,2604.63,2590.11
124,2022-04-28 10:02:52.175,2634.84,2604.63,2590.11
125,2022-04-28 10:03:02.488,2634.96,2604.63,2590.11
126,2022-04-28 10:03:12.754,2635.09,2604.63,2590.11
127,2022-04-28 10:03:23.114,2635.22,2604.63,2590.11
128,2022-04-28 10:03:33.411,2635.34,2604.63,2590.11
129,2022-04-28 10:03:43.724,2635.46,2604.63,2590.11
130,2022-04-28 10:03:54.021,2635.59,2604.63,2590.11
131,2022-04-28 10:04:04.366,2635.71,2604.63,2590.11
132,2022-04-28 10:04:14.679,2635.83,2604.63,2590.11
133,2022-04-28 10:04:25.007,2635.97,2604.63,2590.11
134,2022-04-28 10:04:35.289,2636.09,2604.63,2590.11
135,2022-04-28 10:04:45.524,2636.21,2604.63,2590.11
136,2022-04-28 10:04:55.931,2636.34,2604.63,2590.11
137,2022-04-28 10:05:06.244,2636.46,2604.63,2590.11
138,2022-04-28 10:05:16.557,2636.58,2604.63,2590.11
139,2022-04-28 10:05:26.854,2636.71,2604.63,2590.11
140,2022-04-28 10:05:37.183,2636.84,2604.63,2590.11
141,2022-04-28 10:05:47.511,2636.96,2604.63,2590.11
142,2022-04-28 10:05:57.808,2637.09,2604.63,2590.11
143,2022-04-28 10:06:08.121,2637.21,2604.63,2590.11
144,2022-04-28 10:06:18.434,2637.33,2604.63,2590.11
145,2022-04-28 10:06:28.747,2637.45,2604.63,2590.11
146,2022-04-28 10:06:39.014,2637.59,2604.63,2590.11
147,2022-04-28 10:06:49.373,2637.71,2604.63,2590.11
148,2022-04-28 10:06:59.686,2637.83,2604.63,2590.11
149,2022-04-28 10:07:10.015,2637.96,2604.63,2590.11
150,2022-04-28 10:07:20.312,2638.08,2604.63,2590.11
151,2022-04-28 10:07:30.625,2638.2,2604.63,2590.11
152,2022-04-28 10:07:40.923,2638.34,2604.63,2590.11
153,2022-04-28 10:07:51.251,2638.46,2604.63,2590.11
154,2022-04-28 10:08:01.564,2638.58,2604.63,2590.11
